spec_name,seed,horizon,num_actions,H_hat,kappa_uniform,kappa_piG,J_uniform,J_piG,J_star
T2_A2,3653403231,2,2,2.0,0.9310016264199817,0.014130013360524298,-3.162873061664825,-1.7261716450762141,-1.1770135547964449
T2_A2,2735729615,2,2,2.0,1.111122406993411,0.02103342309497719,-2.993744516677357,-1.2614106818351916,-0.8955189311800925
T2_A2,2195314465,2,2,2.0,1.8583989781857275,0.04989958135086932,-4.190189665429102,-1.9556148474215695,-1.5778850248801888
T2_A2,1158725112,2,2,1.0,0.4830221099478086,0.002546112183435102,-3.2814270757577564,-2.4416527892266413,-1.9739897071454346
T2_A2,1322117304,2,2,1.0,0.8458936978251435,0.008102648640744026,-2.6998113892832,-1.385491724451052,-0.9518969219917837
T2_A2,175979945,2,2,1.0,2.4230259111983288,0.0014258304087507207,-4.8765025250636915,-1.2407744280320228,-0.8168512890272683
T2_A2,323153949,2,2,1.0,1.3305539653969372,0.001142119278030154,-2.8279970482829593,-0.8770708995168027,-0.5812496578834674
T2_A2,70985654,2,2,2.0,0.3906049200411411,0.0193224106533478,-2.898067538140929,-2.23816074399141,-1.6839429853875076
T2_A2,752767291,2,2,1.0,0.2297224035280253,0.013560469744579503,-1.352737145409512,-0.944372014685441,-0.5211539190814631
T2_A2,3492969080,2,2,1.0,0.7154965117629558,2.510808053734962e-05,-2.6465478047159032,-1.4683914531619264,-1.1165315775433184
T2_A2,2789219406,2,2,1.0,0.32059097752547216,0.014652882540724936,-2.593452607560773,-1.983435410997742,-1.3239106733431147
T2_A2,3920255353,2,2,1.0,0.3213234628650895,0.018703943736725348,-2.746971946539603,-2.1837274996187737,-1.7153016887581718
T2_A2,2163061375,2,2,1.0,0.4253419679934778,0.018845342551901092,-2.601132180108164,-1.7176765802565395,-0.8133510516953344
T2_A2,2605480817,2,2,2.0,0.6034452552275408,0.05760186886016323,-3.423403998589908,-2.4394814429147833,-1.8818736653968364
T2_A2,4169308741,2,2,2.0,0.237544208124606,0.007093886719366021,-1.7951491750255284,-1.3345408464033608,-0.5633866604839445
T2_A2,3133163871,2,2,1.0,0.5953872516164183,0.0026231223623196676,-1.6872677329317007,-0.6700550122541726,-0.11623285532371748
T2_A2,2715582399,2,2,2.0,0.7125728925255218,0.006622959555153133,-2.5641286287493794,-1.4474327142964363,-1.077046770879859
T2_A2,2334851559,2,2,1.0,2.9992730746247114,0.00790905572113524,-5.883324983136642,-1.4397260512439263,-0.9793127212636804
T2_A2,2404827117,2,2,2.0,0.4803182872679784,0.01611442752240716,-2.30489587595397,-1.4431487416052655,-0.79370071107225
T2_A2,4016105479,2,2,2.0,1.0631465395795832,0.009109330617566344,-2.885583082419074,-1.30870874807992,-0.7621873242669652
T3_A2,2242647589,3,2,2.0,0.7297465713957375,0.020469402929877183,-3.296296832537047,-2.0990849297126,-1.3530604417117171
T3_A2,3821399010,3,2,2.0,1.2998153430437789,0.005145567169089669,-3.804420944652532,-1.8060169119182554,-1.0462598566393146
T3_A2,4264680396,3,2,3.0,1.3782695037581962,0.03187816625028131,-4.186701423236775,-2.108896848668346,-1.1458629762648762
T3_A2,2392889704,3,2,1.0,1.4223709051270492,0.009039919818153086,-5.153283640804562,-2.9318838979616473,-2.148062748997834
T3_A2,1301146046,3,2,2.0,1.7328535951274016,0.11298957002365202,-4.746359657360481,-2.1212570199494194,-1.7904613142627794
T3_A2,3439874040,3,2,2.0,1.92852901725947,0.0079005032937362,-5.613002533399332,-2.5745025760387974,-1.9517907929920417
T3_A2,982227334,3,2,1.0,0.9534893133221458,0.017091335742778,-4.091903638549553,-2.4794025399071247,-1.7413087733990555
T3_A2,4108195564,3,2,1.0,0.4697590413545609,0.010025957326851449,-3.1178271296163063,-2.3058766758761386,-1.722618545358693
T3_A2,3828018002,3,2,2.0,0.8137495518210975,0.06446526041074438,-3.3654240804508198,-2.0454943841247375,-1.3997267994049796
T3_A2,251750195,3,2,1.0,0.6304604639080011,0.022610703039306457,-2.837541971154342,-1.9232085265326466,-1.2608207104708369
